N,r,sigma,x0,y0,theta0
356.7127871522711,78.2715415299139,0.1516450035710764,80.43334623474576,136.58466890495845,3.740371230865611
357.2217172308936,78.4205382044103,0.14383449727425665,80.48724312396669,136.74391840716842,3.7407600741419
357.5296308719705,78.48759704346121,0.1404154696325195,80.5552424749838,136.7850882634886,3.7412005620958757
356.84744172143644,78.36964462282238,0.13962578396490086,80.48678840627264,136.67242873462953,3.7404075819731895
356.1143434650763,78.20130258604625,0.13626400312619344,80.38294394160934,136.5470535469956,3.7393932187827925
355.9614532068739,78.2150732568348,0.14066602073649298,80.43654026081667,136.51693594547856,3.7386313355220446
355.8098200935898,78.22422797107244,0.14781425154088262,80.44482176516095,136.51897846310095,3.7383069439391496
356.22260372513665,78.25515218974907,0.13999316628621505,80.46537031226032,136.5512657146873,3.738885760439124
354.8306646844734,77.92640662722482,0.1517843950213862,80.30206312478136,136.23686005776605,3.736777540688551
356.6358519421141,78.34622241695573,0.14583389772015412,80.49422079790327,136.63056734139306,3.7400554411046776
356.64606532481804,78.31899830009729,0.16239992979099774,80.4676655306035,136.61701820151936,3.740149057424362
356.64540963163483,78.32585661578962,0.1676854886970839,80.47281103021916,136.61363350960679,3.7400465649685404
356.6291078618828,78.35287047501862,0.155303572583766,80.48413261189371,136.6590241555016,3.739737868304164
355.53344283630554,78.01492661109516,0.1595803887749144,80.34458104762335,136.32473945904607,3.7379495991674156
355.27129656773843,78.00565242242149,0.14847947298165448,80.32067782146672,136.3288028890286,3.737813353528912
356.64393399864525,78.32498592080105,0.13385552498050382,80.46845930296998,136.62089826762454,3.7398936556054494
355.9001050408123,78.27594969590234,0.14618573738880353,80.46646209067556,136.5720787187826,3.7383912796225953
356.63501138490574,78.34545910162704,0.14862799953128672,80.48189500992802,136.63567239670917,3.7394773507393197
355.717833109953,78.08128323243828,0.16002564274380132,80.33640653005403,136.4185451709708,3.7385425085602275
356.648502417724,78.32072585305342,0.1544390784002256,80.46719011025148,136.6226317857586,3.739970226534238
357.54020058865495,78.62832631641551,0.1390000480440781,80.6228685610761,136.9174879767936,3.7409483148287164
355.64681279834025,77.93107262905436,0.16200098051586628,80.29250353408806,136.25565655570006,3.7387782218371814
356.6540277853236,78.3031756534238,0.139421841280891,80.4830759086821,136.5946555103845,3.7400150822982106
356.6399788647453,78.32688994449161,0.15243903483053517,80.47189872767902,136.61905774847946,3.740147020618486
356.6305436762341,78.38967122291109,0.13557308419117817,80.48503608553979,136.6932122910623,3.7399268928506793
356.0519915782963,78.12961280536089,0.15597298604430998,80.40177519019662,136.43807421778945,3.7392759750749143
357.09582743804106,78.44859735333156,0.1528988087360407,80.52060327412876,136.74664696992855,3.740626456158129
356.8323248530822,78.32997499879302,0.15279878710802178,80.47693017425418,136.63418355829447,3.739810834346423
