Parameter,Mean,Median,Std,68.0%_lower,68.0%_upper,90.0%_lower,90.0%_upper,95.0%_lower,95.0%_upper,99.0%_lower,99.0%_upper
N,357.2771971873904,357.2680492213424,0.0348153316991024,357.26732548095544,357.2717350988502,357.2664506017798,357.32437139908836,357.26297255318076,357.39151145867805,357.2602849918527,357.46987928475573
r,77.84654299605931,77.85388782133734,0.029612435384072072,77.84866783943788,77.85704591832013,77.80749970286172,77.85829340252758,77.72600329088357,77.8593632197321,77.69383681393978,77.8604539837779
sigma_r,0.025015894058174788,0.02497495957971893,0.002360087512097346,0.022770612210161228,0.027654763893483134,0.02128250292234766,0.028977915093954018,0.02077720693733418,0.029406312299263434,0.019473004913631492,0.029935397648829996
sigma_t,0.11626878359550222,0.11658581986424232,0.007824347297733469,0.1094724136439429,0.12382055303056676,0.10274501324882378,0.12756292471670616,0.09872283889830952,0.12870110829052722,0.09130679332165095,0.13222351527786597
x0_0,80.01157169523935,80.01776869122148,0.02428121602987489,80.01414399699952,80.01886391014166,79.98091113409188,80.02102922264065,79.91163938849134,80.02134114527362,79.88653851700884,80.02237695834901
y0_0,136.31429239265583,136.3184984146867,0.016480074368802295,136.31603815095664,136.3192417052611,136.29348232708858,136.32071116002015,136.24646684840877,136.32092298164181,136.22943028072422,136.32162608074503
alpha_0,3.7378917998871213,3.737893516651072,1.2889150065766188e-05,3.737880016241907,3.7379008566893717,3.737869664839425,3.7379139464312803,3.737862692549538,3.7379207665726084,3.7378561331339313,3.7379253120483025
x0_1,80.0463111560632,80.05705673231316,0.044023215170391074,80.01891434237224,80.06465228069814,79.95977718589576,80.10684408387853,79.91345300888648,80.11470648748495,79.8763068225259,80.13141627137766
y0_1,136.39925518843472,136.39941182387233,0.03007534356206284,136.38763177950167,136.41627690782897,136.3449117538023,136.45086481591775,136.3280880330088,136.46474449630995,136.30258882643577,136.48205395450344
alpha_1,3.7410297642476085,3.7410343317359307,0.0007106161088197929,3.740314731203468,3.7416246860604576,3.739981971593071,3.7421853501071234,3.7395046522467905,3.742278833916458,3.7390343149761276,3.742609727280543
x0_2,80.16767852210734,80.18535970518457,0.1430190088379023,80.17673576538718,80.19228234446842,80.14147317309721,80.20615236042802,79.72588916584996,80.28657927957681,79.36865402105687,80.49473461755534
y0_2,136.15421311501936,136.15355305068437,0.06362677239812792,136.1427554993043,136.16689142700992,136.12683864583963,136.17732395854247,136.08097084177996,136.30986317952818,135.84926897263932,136.40313628933666
alpha_2,3.7432132739988524,3.743035782998508,0.0020362769359707445,3.742616329900148,3.7433782650182184,3.74221812003967,3.7439405180715997,3.7415224253431347,3.7495707169460415,3.7376613561542293,3.7540012986541096
x0_3,79.90386049246288,79.90148731337646,0.024628059066737276,79.87754406264256,79.92946809546694,79.86108118819787,79.94693953572701,79.85620604056629,79.95373085407768,79.85298313871118,79.96121869571151
y0_3,136.22366159872325,136.2309861606145,0.03069788171068291,136.2211421696742,136.23712686929647,136.1805417974129,136.24280596948978,136.09817967670972,136.24340711921099,136.07026739132576,136.24468901910672
alpha_3,3.748098273480374,3.7480988964270563,0.00040238279862892516,3.7476531833050704,3.7485378373268334,3.7474813621824627,3.748715059111035,3.7474236517563266,3.748816035074546,3.7471702007535446,3.748993488929362
x0_4,80.54392576306151,80.54213795559212,0.006997299538630649,80.54182256316155,80.54324875508647,80.54119912220509,80.55276441033543,80.54110975835177,80.57272290620023,80.54081150162534,80.57995643210596
y0_4,136.3121386803549,136.31941984425953,0.028497190179189495,136.3148939857931,136.3207038620463,136.27614403135013,136.32324208159406,136.19486176631133,136.32360631288313,136.16539794897506,136.32482219852508
alpha_4,3.7396599963622106,3.7396324681248374,0.00012571186535895168,3.739597453768349,3.7396739349163273,3.739575353205093,3.7398379884056494,3.7395669170151162,3.740053107104061,3.7395566317679223,3.7403387857054247
x0_5,80.65195572731807,80.6479360059974,0.015854239293047367,80.64636011845208,80.65180098450861,80.64522496070046,80.66552564580225,80.64485541569286,80.70901451015123,80.64403826656934,80.73617236727029
y0_5,136.41345318817372,136.42105429916728,0.02753667210904339,136.4089954488048,136.42595496170807,136.37659168625552,136.42967955157798,136.30231255368915,136.43058623352394,136.27794018897612,136.43349038466832
alpha_5,3.7385801193434087,3.7385343784615803,0.0006908091814223894,3.737826666468416,3.739238754861449,3.7376411667913336,3.740015742315966,3.7376119885559675,3.7400407805316886,3.7374991687223784,3.740048984336646
x0_6,80.66993373875992,80.66727905685028,0.01003582276658681,80.66577908672045,80.67041099632662,80.66488188095238,80.68580906450248,80.66468141406571,80.70782196480329,80.66435374652889,80.72082374960738
y0_6,136.09757254895365,136.10472592503072,0.02765641490452136,136.09610002541612,136.10900234713645,136.06073458143146,136.1117106121898,135.98579971722486,136.11231867805293,135.95673794133523,136.11331192355428
alpha_6,3.7459507248078063,3.746037972075743,0.000755886228026763,3.7450144965282455,3.7470291987961817,3.7449862460546317,3.747067940162335,3.7449731568877045,3.7470742944226068,3.7449526838943576,3.7475066515399957
x0_7,82.75968792536582,82.75111718941021,0.03355819237224752,82.7481256247664,82.75639933983494,82.74628341079472,82.77466874485444,82.74568244462257,82.906019737203,82.74458411662526,82.92173423976911
y0_7,136.79052398165993,136.79346843792928,0.021732250795514736,136.78611364029118,136.8026119827877,136.78192795206348,136.80702651950256,136.71262988861577,136.80792845287834,136.6793866358415,136.80907002800402
alpha_7,3.7151134851220604,3.715156297436977,0.0006700833101961714,3.7144748481322782,3.7158299162008244,3.7138881415774234,3.716107691822989,3.713723760845765,3.7162520456424413,3.7136084852778746,3.716653831201751
