N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
358.81625,3.7315629,3.7613564,3.7496085,3.8302069,3.7647462,3.6711047,77.5643,0.31540054,80.41063,78.96828,80.065506,74.456406,79.405556,86.49041,135.68033,136.46776,135.82481,134.20605,135.72398,137.79822
357.98892,3.7381573,3.750281,3.7537158,3.7399428,3.6272461,3.6649718,77.40597,0.3696751,79.90796,79.64815,79.61235,80.67684,89.61109,86.67339,135.87221,136.01996,135.82979,135.75485,138.42474,137.95491
358.50067,3.7281277,3.7574737,3.7530577,3.631908,3.6859484,3.6579373,77.2709,0.35341462,80.42655,78.84678,79.78305,89.05934,85.403946,87.435936,135.26953,136.16045,135.67186,137.77243,136.94969,137.78606
358.48492,3.7551098,3.702535,3.7507987,3.6968074,3.6843357,3.7242782,77.33531,0.33299404,78.914085,82.720215,79.880135,84.260155,85.99505,82.524124,136.67096,134.14032,135.71866,136.79677,136.89551,136.15582
359.2641,3.749442,3.7477007,3.7519073,3.7410316,3.739625,3.7370386,77.31256,0.30399948,79.34111,79.799866,79.925575,81.08263,81.8535,81.92161,136.45912,135.68399,135.72275,136.2368,135.8206,135.7659
359.6849,3.7512822,3.7346423,3.7516475,3.7107227,3.8703701,3.7451236,77.75018,0.33736083,79.40078,80.96986,80.089714,83.48908,72.74806,81.33697,136.78015,135.68031,136.15617,137.02962,132.79065,135.90323
359.70328,3.7596815,3.7668004,3.7526917,3.7286644,3.797836,3.709673,77.52049,0.3426506,78.85283,78.59949,80.01161,82.306816,77.67265,83.66367,137.13622,136.60289,136.00499,136.443,134.70607,136.97589
359.0424,3.739602,3.7467604,3.7464051,3.6989162,3.7911952,3.755016,77.57106,0.33552444,80.054245,79.88175,80.403564,84.09791,77.66934,80.432014,136.30066,135.9833,135.94284,137.08896,134.86519,135.53378
358.48322,3.734199,3.75771,3.7531812,3.8223195,3.813057,3.64291,77.22527,0.33283636,80.137665,78.93494,79.63662,74.88661,75.98915,88.55027,135.4828,136.18169,135.62387,134.065,133.60048,138.13066
359.8631,3.7460177,3.7818217,3.755302,3.762001,3.6739492,3.6807754,77.51657,0.32699177,79.638824,77.50208,79.77869,79.7439,87.130936,86.12947,136.45786,137.10114,135.9025,136.02162,137.75024,137.71835
358.47144,3.7398815,3.6853948,3.7470348,3.8423505,3.8440263,3.8176801,77.40549,0.33510417,79.84015,83.97949,80.1683,73.52547,73.8949,76.07458,136.0418,133.38557,135.86906,133.73029,132.83562,133.37415
358.11334,3.7280447,3.7580574,3.7499468,3.7788682,3.671896,3.6472564,77.29441,0.33758134,80.33918,79.106125,79.90215,78.17006,86.43287,88.21646,135.22997,136.04541,135.72647,135.0901,136.86201,138.14825
358.67715,3.7291567,3.7569652,3.7525535,3.6544192,3.6864808,3.7365274,77.5558,0.36608687,80.48504,78.936424,79.83781,87.59562,85.50249,81.64171,135.51547,136.32048,135.93872,137.46776,137.05084,136.26321
359.76932,3.7331512,3.7230237,3.7596972,3.8420606,3.9006255,3.7102468,77.28752,0.31458434,80.15418,81.47336,79.419876,73.801056,70.52236,83.98276,135.47774,134.70201,135.65524,133.22926,131.53247,136.4732
358.62796,3.7493796,3.6907039,3.7432997,3.7533157,3.679994,3.756116,77.4893,0.34039032,79.40261,83.53809,80.403336,79.843285,86.05603,80.18564,136.53915,133.6562,135.82959,136.04367,137.54556,135.31252
358.87506,3.7486472,3.7202258,3.7527895,3.7536848,3.6597366,3.707031,77.36176,0.3210659,79.42783,81.57288,79.81911,80.23214,87.22273,84.125534,136.56248,134.88373,135.82614,135.55458,137.62912,136.83612
360.88242,3.7460272,3.7918735,3.7647672,3.7991824,3.6944344,3.7547927,77.435326,0.3262509,79.53946,77.01898,79.255486,76.93178,85.36518,80.965,136.2807,137.31451,135.86249,134.92322,137.4426,135.5245
