Parameter,Mean,Median,Std,68.0%_lower,68.0%_upper,90.0%_lower,90.0%_upper,95.0%_lower,95.0%_upper,99.0%_lower,99.0%_upper
N,356.5441857344384,356.6449456823135,0.6898903991260337,355.81129029803975,357.1252677286834,355.33766796144477,357.70156579636557,355.24141276190136,357.88270885684096,354.6015217936664,358.10569868818226
r,78.29811020402002,78.31986207657536,0.172232352093201,78.12682531652024,78.46320666218128,78.00135239259674,78.59945728833486,77.9559656894397,78.61934054680034,77.86471520514078,78.66612984558054
sigma,0.14910366648483878,0.14858525334063138,0.009164613996571454,0.1396195124438384,0.15904969234901709,0.13548720623064445,0.16467614014922485,0.13262981193248966,0.16631722614246314,0.12872036230974368,0.17014861730390932
x0,80.46137541358354,80.46700261049021,0.07792946416026564,80.37829013262052,80.5279737330702,80.32531055014212,80.59137308784128,80.30987556013123,80.61862372453774,80.26792643917835,80.62671089752732
y0,136.60368706381695,136.619978008052,0.16598077266571445,136.43553257736423,136.75788734607306,136.31595197220386,136.91133986242394,136.27412744649973,136.9191419802335,136.18258980864843,136.9526163680535
theta0,3.73971081454477,3.739829522313487,0.0011420659999963414,3.7385266429208395,3.7406281883475465,3.7378079549125545,3.741704297577718,3.7375047439905127,3.741758862509671,3.7365171197203098,3.742797050282034
