N,r,sigma,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.3950462177632,77.92310523940435,0.09136876898911682,80.0972303976244,136.37242980218937,3.7378970263669893,80.10947514225006,136.47386849533157,3.7413259707906183,80.23611783247335,136.20646491265717,3.7426869215063308,79.85262208853244,136.29008700496868,3.748811339335101,80.5051360862848,136.4701706642767,3.740063985634197,80.50822098153097,136.48871605000747,3.7396558923710645,80.6149548066353,136.18982579633882,3.745741917782794,80.76985240050045,136.04659543404173,3.742506358034147
357.39503660875283,77.92311951243185,0.09136657801697716,80.0972344479672,136.3724323354741,3.73791094218787,80.1094790201385,136.4738617396077,3.741574358781024,80.23611878528885,136.20648204023124,3.7421671259968714,79.85260538459274,136.2900181960467,3.7487770827979676,80.50513256850215,136.47018526465345,3.7400690194973825,80.5082235681339,136.48874343817906,3.7404546063368924,80.61496349857978,136.18984191355054,3.746795703248501,80.76985516323788,136.0465951478441,3.742780376887634
357.39562845371,77.9317442355283,0.08342077164406503,80.09653647552945,136.3719590536952,3.7378822468933137,80.10559760759912,136.46986288747033,3.741040477909455,80.23331672686317,136.20123648532046,3.742765349160845,79.85692230940644,136.29470872516825,3.7490491703851387,80.50578709813482,136.4675184902378,3.740058910690434,80.50912875284303,136.48561433988255,3.7404673095214194,80.61540344891917,136.18855105153204,3.7478263718368003,80.76893144493265,136.04947695963494,3.74279116200549
357.39531516861246,77.9226803116896,0.08705330244812859,80.09714267120863,136.3723702897398,3.7378951518935835,80.1089810521745,136.47341246972033,3.741219188886164,80.23607370025398,136.20632832577868,3.742936146374901,79.8529885093662,136.2904286975156,3.7492270714132703,80.50521549143035,136.46984721821468,3.7400641968608865,80.5083706210187,136.4882074342103,3.739650738441791,80.61504111278383,136.1895779007913,3.7457565619624575,80.76959656509341,136.04736410041068,3.743362712777219
357.39410547786895,77.92779347673809,0.08668602451236558,80.09587272328037,136.37150819642858,3.7379052641744877,80.09999547800932,136.46402331263175,3.7412466433462828,80.23981546301587,136.21111555721717,3.742516782949032,79.85884653805765,136.30962831946317,3.7492078559171462,80.50634673047868,136.46523767551128,3.740037584863233,80.50993208308853,136.48283280714875,3.740462251087128,80.61606761199309,136.18659993428454,3.7467815140049634,80.76950512476385,136.04982423857587,3.7423532258440493
357.4018456301464,77.91632009301465,0.08031456166184121,80.09480356219706,136.3707832732967,3.7378578364495696,80.08661440292987,136.45072635341762,3.7403631543200646,80.24221850370157,136.21765656452098,3.7425597528825922,79.86128208110964,136.29535197286825,3.7492835853319098,80.50717281880486,136.46187525790472,3.740087039834559,80.51118897173279,136.47847434528003,3.740490483130165,80.61691792073412,136.18410142301417,3.7467883328431326,80.76534362666423,136.06238714669996,3.742752084800141
357.39692666606203,77.9164690977921,0.08795150270187428,80.09653025285174,136.3719545323896,3.7379014711808596,80.1074913903851,136.47125439362358,3.7411007695074554,80.23431924111668,136.20356159544332,3.7428111234621846,79.85330792032498,136.29468374889484,3.748988043396728,80.50575373834307,136.46765500762035,3.7400705579953692,80.50911873733848,136.48564541481971,3.7404812219916623,80.6155389771812,136.18815243359757,3.74680319292299,80.76702636332185,136.05420590703258,3.7438429120979135
357.3962618039354,77.92197883123887,0.08368389527378517,80.09536598571079,136.37116310817214,3.737979859588543,80.10037886176752,136.46414005654734,3.741250607196014,80.23820309371182,136.21121050652303,3.7428658860008257,79.85548852501401,136.29321322315892,3.7487613510556543,80.50674957502349,136.46359812589122,3.74006444424398,80.51053779368235,136.48073361608738,3.740483571871467,80.61647282511206,136.18540847651067,3.7467599279204236,80.76242475946319,136.067344578453,3.7426200354944243
357.39512032906873,77.9232074813218,0.08636455693431268,80.09715198626577,136.37237763046767,3.737829465458781,80.1092557153927,136.47361278316504,3.741909388533546,80.2361331434302,136.2064314957041,3.742981004824758,79.85285652346354,136.290799687865,3.7487715012565492,80.50520645279133,136.4698827655392,3.7400405475938507,80.50830229562746,136.48849889477503,3.7412708977291165,80.61503048422793,136.18964439955798,3.746774102613444,80.76991650339926,136.0465491920319,3.742673341406599
357.4021145965151,77.90626010030061,0.0891192357470382,80.09248831752866,136.36921112480385,3.7379061313475606,80.08399831279473,136.45010652476628,3.740612980111927,80.23451397558657,136.20279624274636,3.7431591334212833,79.86896774532943,136.28144310715075,3.7488226190590903,80.50874173213276,136.45548413460597,3.7400843085340862,80.51379709661518,136.469403684279,3.740489762037495,80.61802325242638,136.1806139005069,3.747833818674937,80.74116419290861,136.121923142087,3.743346913309614
357.4086589798975,77.91237999743123,0.08880485521278801,80.09219467170196,136.36901199413705,3.7378950260966084,80.09700456525658,136.46826116233882,3.7412015582659532,80.22069442686207,136.1784526001295,3.7429574153916225,79.87061050606583,136.2817923039861,3.74848513397871,80.50940298834166,136.45279184391768,3.740109250395173,80.51626310350916,136.46138708376867,3.739703638562675,80.61902580554833,136.17791233191772,3.74681814013465,80.74799671436391,136.10645437223727,3.7435476058075685
357.39600985689515,77.92879563914461,0.08288536367048677,80.0967538010647,136.3721062989888,3.737898865150109,80.10588666943035,136.4693177164354,3.741289136569293,80.23639115273394,136.20695125497048,3.742550440452749,79.85530537314852,136.28918633643443,3.749481538891095,80.50558314852194,136.4683497710991,3.7400680469591645,80.50863348428345,136.48730652032123,3.7412750323200896,80.61527029818474,136.18895387965108,3.7478119376742867,80.76991279718102,136.0470989176451,3.74313860430061
357.39541950598135,77.92493797881049,0.08149670445967958,80.09624105544898,136.37175855115677,3.7378819868378805,80.10228262943417,136.4669356182287,3.7408766395524284,80.23379923940435,136.20235611499228,3.7421233477284765,79.85427530359866,136.30690710768127,3.748723605688517,80.50603428700306,136.46651162512512,3.7400600450401176,80.50949932680251,136.48420982477833,3.73978338858259,80.61559082549184,136.18798280069115,3.747813212229594,80.76836034276374,136.05181951140602,3.7422314626850284
357.3990316610276,77.91567554509712,0.09182746241477838,80.0955508234632,136.37128927325662,3.7379338927029973,80.09231978426273,136.45488089566265,3.740753107783689,80.24122892186108,136.213434058461,3.742438657546274,79.86127938546345,136.29583443981727,3.7488619050069563,80.50663238235501,136.46407687820633,3.74008979600599,80.51036317692221,136.48133828603846,3.7404622140341717,80.61658942733227,136.18512090412128,3.7457686245088864,80.763734791594,136.06604222083888,3.7432699692584586
