Parameter,Mean,Median,Std,Median-68%_lower,68%_upper-Median,Median-90%_lower,90%_upper-Median,Median-95%_lower,95%_upper-Median,Median-99%_lower,99%_upper-Median,Mean-Std,Mean+Std
ideal_N,356.5441857344384,356.6449456823135,0.6898903991260337,0.8336553842737544,0.4803220463699063,1.3072777208687398,1.0566201140520661,1.4035329204121467,1.2377631745274584,2.043423888647112,1.460753005868753,355.8542953353123,357.23407613356443
ideal_r,78.29811020402002,78.31986207657536,0.172232352093201,0.19303676005512216,0.14334458560591656,0.31850968397861834,0.2795952117594993,0.36389638713566796,0.2994784702249831,0.45514687143457877,0.3462677690051805,78.12587785192682,78.47034255611322
ideal_sigma,0.1491036664848387,0.1485852533406313,0.0091646139965714,0.00896574089679289,0.0104644390083857,0.01309804710998691,0.016090886808593496,0.015955441408141702,0.017731972801831808,0.019864891030887705,0.021563363963277987,0.1399390524882673,0.1582682804814101
ideal_x0,80.46137541358354,80.46700261049021,0.0779294641602656,0.0887124778696915,0.060971122579985604,0.1416920603480918,0.12437047735106432,0.1571270503589801,0.1516211140475292,0.19907617131185873,0.15970828703710538,80.38344594942328,80.5393048777438
ideal_y0,136.60368706381695,136.619978008052,0.1659807726657144,0.18444543068775943,0.13790933802107475,0.3040260358481248,0.2913618543719565,0.345850561552254,0.29916397218150337,0.4373881994035571,0.3326383600015106,136.43770629115124,136.76966783648265
ideal_theta0,214.26964627284661,214.27644772698952,0.06543556172517588,0.07464949041329305,0.04576019299207701,0.11582728007462606,0.10741671017598264,0.1331999862099167,0.11054305048631363,0.18978668863724124,0.17002682818480253,214.20421071112145,214.33508183457178
