N,r,sigma_r,sigma_t,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.2675435924966,77.85801432542826,0.02551449253063067,0.12012074505587768,80.01841107397941,136.31893440465257,3.737891728954457,80.0598729909425,136.3991796835336,3.740851759162988,80.1823684219103,136.14701732779784,3.7430177139435514,79.90376403369277,136.23622150335757,3.748102794990498,80.54195278869268,136.3201740957651,3.739632058780202,80.64707739406798,136.4228934961896,3.739234135456881,80.66671584394595,136.10616263111623,3.745018952799922,82.74916778045024,136.79629835580715,3.7146166994847403
357.26951878579206,77.85026226415731,0.025760429107269955,0.1230015128573285,80.01622491105786,136.3174507551084,3.737882793356603,80.03073893354743,136.4210559629532,3.7415155852120847,80.19839086607803,136.1659723622041,3.742783319204906,79.87080006798834,136.2364697811798,3.7489798492716115,80.54258568234677,136.31759589316482,3.739630082564505,80.65220417685093,136.40994998544264,3.737702522883003,80.66813706140856,136.10262395133356,3.7460774072361906,82.75495149514747,136.78265961207097,3.715371409919983
357.26773019307205,77.85706124797453,0.022455850284335232,0.12065698320571723,80.01807695080588,136.31870765121863,3.737890312087892,80.0644054837455,136.403250686442,3.7407094641313576,80.1834069155641,136.1482550486447,3.7431064654765307,79.90238849336801,136.23616159691704,3.748037486725623,80.54204879229259,136.31978344413798,3.7396398478949147,80.647713041736,136.42063838597562,3.737854679817288,80.666644210207,136.10636927905566,3.7450250287282314,82.75022160401579,136.79260495991943,3.715492753272775
357.2670952708664,77.85716029339831,0.024092077409924553,0.10807031588738267,80.01886404970617,136.3192418064679,3.737894358284727,80.0636639229314,136.3993357065618,3.7409194350595674,80.1816334236391,136.1438296039937,3.7425238730259913,79.89927271812687,136.24016270991152,3.7477892398619277,80.54182282275173,136.32070317013319,3.739625700084416,80.64718098682805,136.42306343011077,3.7385359502580444,80.66491258080386,136.11161687426434,3.74703579684945,82.75139540687299,136.7903024866374,3.7150872615123482
357.2890966122535,77.83407780204512,0.027961757911044684,0.11616569404349904,80.0038804086308,136.30907243769195,3.7378751935479055,80.14239876753189,136.28850551560413,3.738872230712097,80.1004961678676,136.17406804840107,3.744064973261293,79.8649194381282,136.21958326843034,3.748652108633208,80.54614293432077,136.30311182610876,3.739749125880688,80.64911884196754,136.4132034111256,3.7393773599153484,80.67425726968723,136.08443475254577,3.7450847679414663,82.77534751304007,136.78254372356147,3.7144584284023106
357.2680489825387,77.85583719876746,0.025797870134338218,0.10760654793113503,80.01829523014209,136.31885587844377,3.737885347263119,80.0607481134896,136.40320199277807,3.7415708546720556,80.17846172609737,136.14361870407896,3.743115755599417,79.89494480658894,136.24308621445914,3.74817537699775,80.54198626332057,136.32003520083737,3.739584989033109,80.64795387483959,136.42043195573416,3.7378498526896253,80.66758721260733,136.10365043638086,3.7449840832790544,82.7489480138817,136.7972611371401,3.715479168685784
357.26822152766556,77.85757454348817,0.02351549142451804,0.10841163385881425,80.01879999435077,136.31919835662407,3.737892716169557,80.05780957341031,136.40455898497342,3.7403860447913235,80.18483985063581,136.1467827397029,3.742437733039997,79.89898796580667,136.23388454033275,3.7481111989484135,80.54184041737508,136.32063134475186,3.7396228463510823,80.64750075031269,136.4219162303378,3.737845722088363,80.666052024443,136.10821409254677,3.7460920578728842,82.7511873477893,136.79092537820617,3.7148279357592937
357.2688855162087,77.85170130778829,0.02297083336048028,0.12729601672060856,80.01539116212031,136.31688467163744,3.7378958670679654,80.06359499620737,136.38574958351285,3.740974075867588,80.17731184535354,136.16332377499288,3.743823497429285,79.90538726605465,136.23221936720628,3.7475575730935793,80.54282421611917,136.3166235796341,3.73961811234853,80.64478498567134,136.4308342213766,3.740004277922166,80.67111319423118,136.09349118416034,3.7450041095540354,82.74667543191134,136.80888046503188,3.7152414696037037
357.2736591190328,77.84836091945482,0.02362582308199155,0.11203126961070921,80.01343523635185,136.31555723990672,3.7378900596122464,80.00160967367458,136.45064786653685,3.7419085137465755,80.13741315524778,136.16165208693218,3.7431099460838673,79.89120715050848,136.23090176110298,3.7483365598725467,80.54338908263456,136.31432513929985,3.739665329062362,80.64640891467303,136.4231638750375,3.738662352616633,80.66924149302865,136.10099728799185,3.7460609688418236,82.76497700109609,136.79537883330664,3.715030710171042
357.35323258831687,77.78575398534802,0.021457359408427492,0.11764776691644464,79.96211809128731,136.28072678204944,3.737927530725037,79.93699900839013,136.418639544302,3.7414763148456975,79.61713229429645,136.37119469052996,3.751169158660969,79.92949086502985,136.15985343139394,3.7471994118790657,80.55818198162014,136.25407947200216,3.7399106941078903,80.664157969002,136.35770281504836,3.7382674848444366,80.69526053298767,136.04134353233795,3.7463195668882063,82.89965891922989,136.7838108515804,3.713864168860071
